Jahr;2012;2013;2014;2015;2016
Kundenkontakte gesamt;61.200;68.800;72.700;77.800;84.700
Charlottenburg-Wilmersdorf;3.898;4.544;5.384;5.221;4.185
Friedrichshain-Kreuzberg;7.824;8.392;8.480;9.120;9.161
Lichtenberg;3.239;3.361;3.554;3.856;4.202
Marzahn-Hellersdorf;13.310;15.793;15.968;17.144;22.307
Mitte;8.011;8.591;8.528;8.462;8.755
Neukölln;5.025;5.661;6.229;6.523;6.748
Pankow;2.763;2.936;3.292;3.209;3.461
Reinickendorf;1.945;2.177;2.412;3.257;3.411
Spandau;5.742;6.598;7.993;9.678;10.029
Steglitz-Zehlendorf;2.133;2.366;2.598;2.743;2.879
Tempelhof-Schöneberg;4.966;5.578;5.890;6.280;7.114
Treptow-Köpenick;2.345;2.804;2.373;2.307;2.448
