Jahr;2012;2013;2014;2015;2016
 Touren/ Einsatztag;14,8;15,9;16,6;16,3;18,1
Charlottenburg-Wilmersdorf;1,1;1,2;1,2;1,1;1
Friedrichshain-Kreuzberg;1,6;1,7;1,8;1,9;2,1
Lichtenberg;0,8;0,9;0,8;0,7;0,9
Marzahn-Hellersdorf;2,3;2,5;2,6;2,5;3,2
Mitte;1,8;1,8;1,8;1,7;1,6
Neukölln;1,8;2;2,1;2;2,1
Pankow;0,7;0,8;0,9;0,8;1,1
Reinickendorf;0,6;0,7;0,7;0,8;1
Spandau;1,1;1,1;1,4;1,6;1,6
Steglitz-Zehlendorf;0,6;0,7;0,8;0,7;0,8
Tempelhof-Schöneberg;1,6;1,7;1,8;1,7;1,8
Treptow-Köpenick;0,7;0,8;0,7;0,7;0,9
Mitarbeiter;43,3;48,9;49,8;48,8;54,2
