Bezirk,Name der Betreiberfirma,Adresse der Spielhalle,lon, lat
Lichtenberg,Hilas Casino GmbH,Frankfurter Allee 255A 10365 Berlin,  13.49875, 52.51212
Lichtenberg,Frankfurter Allee 286 Spielhallen GmbH,  Frankfurter Allee 286 10317 Berlin  ,  13.50420, 52.51049
Lichtenberg,Frankfurter Allee 286 Spielhallen GmbH,  Frankfurter Allee 286 10317 Berlin  ,  13.50420, 52.51049
Lichtenberg,D.Lucky 7 Spielstätten GmbH,Franz-Jacob-Str. 16-18 10369 Berlin,  13.46939, 52.52893
Lichtenberg,Artur Beitelsbacher,Hauptstraße 23 13055 Berlin,  13.50933, 52.54733
Lichtenberg,Helena Scheffner,Hauptstraße 23 13055 Berlin,  13.50933, 52.54733
Lichtenberg,Ritzio Berlin GmbH,Herzbergstr 55 10365 Berlin,  13.49805, 52.52627
Lichtenberg,D.Lucky 7 Spielstätten GmbH,Scheffelstr.2 10367 Berlin,  13.47879, 52.52062
Lichtenberg,D.Lucky 7 Spielstätten GmbH,Türrschmidtstr.1 10317 Berlin,  13.47587, 52.50267
Lichtenberg,Cecilienstraße Spielhallen GmbH,Wartenberger Straße 174 13053 Berlin,  13.50901, 52.56612
Marzahn-Hellersdorf,K.A. Automaten GmbH,Ahrensfelder Chaussee 149 12689 Berlin,  13.49805, 52.52627
Marzahn-Hellersdorf,Rojal Games GmbH,Ahrensfelder Chaussee 140-150 12689 Berlin,  13.56414, 52.57163
Marzahn-Hellersdorf,E & L Slot GmbH,Allee der Kosmonauten 32 12681 Berlin,  13.53045, 52.52507
Marzahn-Hellersdorf,E & L Slot GmbH,Allee der Kosmonauten 32 12681 Berlin,  13.53045, 52.52507
Marzahn-Hellersdorf,Dasyt Marzahn GmbH,Allee der Kosmonauten 198 12865 Berlin,  13.56368, 52.54108
Marzahn-Hellersdorf,Falkenseer Damm 21 Spielhallen GmbH,Alte Hellersdorfer Str. 144 12629 Berlin,  13.59281, 52.54660
Marzahn-Hellersdorf,Falkenseer Damm 21 Spielhallen GmbH,Alte Hellersdorfer Str. 144 12629 Berlin,  13.59281, 52.54660
Marzahn-Hellersdorf,EXTRA Games Entertainment GmbH,Alt-Mahlsdorf 46 12623 Berlin,  13.61889, 52.50453
Marzahn-Hellersdorf,EXTRA Games Entertainment GmbH,Alt-Mahlsdorf 46 12623 Berlin,  13.61889, 52.50453
